"Annotation Protein Groups Group ID"	"Checked"	"Tags"	"Annotation Accession"	"Annotation Level"	"Annotation Description"	"Annotation Source"	"# Master Proteins"	"# Proteins"	"# Reference Proteins"	"Coverage [%]"
"198"	"False"	""	"GO:0016043"	"IntermediateAnnotation"	"cellular component organization"	"GOAnnotation"	"39"	"39"	"2014"	"2"
"199"	"False"	""	"GO:0071840"	"IntermediateAnnotation"	"cellular component organization or biogenesis"	"GOAnnotation"	"39"	"39"	"2024"	"2"
"200"	"False"	""	"GO:0008200"	"IntermediateAnnotation"	"ion channel inhibitor activity"	"GOAnnotation"	"3"	"3"	"35"	"9"
"201"	"False"	""	"GO:0016248"	"IntermediateAnnotation"	"channel inhibitor activity"	"GOAnnotation"	"3"	"3"	"35"	"9"
"202"	"False"	""	"GO:0099106"	"IntermediateAnnotation"	"ion channel regulator activity"	"GOAnnotation"	"5"	"5"	"122"	"4"
"203"	"False"	""	"GO:0016247"	"IntermediateAnnotation"	"channel regulator activity"	"GOAnnotation"	"5"	"5"	"126"	"4"
"204"	"False"	""	"GO:0141110"	"IntermediateAnnotation"	"transporter inhibitor activity"	"GOAnnotation"	"3"	"3"	"35"	"9"
"205"	"False"	""	"GO:0141108"	"IntermediateAnnotation"	"transporter regulator activity"	"GOAnnotation"	"5"	"5"	"128"	"4"
"206"	"False"	""	"GO:0140678"	"IntermediateAnnotation"	"molecular function inhibitor activity"	"GOAnnotation"	"32"	"33"	"214"	"15"
"207"	"False"	""	"GO:0098772"	"IntermediateAnnotation"	"molecular function regulator activity"	"GOAnnotation"	"47"	"48"	"896"	"5"
"208"	"False"	""	"GO:0009267"	"IntermediateAnnotation"	"cellular response to starvation"	"GOAnnotation"	"2"	"2"	"53"	"4"
"209"	"False"	""	"GO:0031669"	"IntermediateAnnotation"	"cellular response to nutrient levels"	"GOAnnotation"	"2"	"2"	"77"	"3"
"210"	"False"	""	"GO:0033554"	"IntermediateAnnotation"	"cellular response to stress"	"GOAnnotation"	"6"	"6"	"393"	"2"
"211"	"False"	""	"GO:0042594"	"IntermediateAnnotation"	"response to starvation"	"GOAnnotation"	"2"	"2"	"62"	"3"
"212"	"False"	""	"GO:0031667"	"IntermediateAnnotation"	"response to nutrient levels"	"GOAnnotation"	"9"	"9"	"176"	"5"
"213"	"False"	""	"GO:0017038"	"IntermediateAnnotation"	"protein import"	"GOAnnotation"	"3"	"3"	"6"	"50"
"214"	"False"	""	"GO:0015031"	"IntermediateAnnotation"	"protein transport"	"GOAnnotation"	"10"	"10"	"485"	"2"
"215"	"False"	""	"GO:0019899"	"IntermediateAnnotation"	"enzyme binding"	"GOAnnotation"	"26"	"26"	"885"	"3"
"216"	"False"	""	"GO:0019904"	"IntermediateAnnotation"	"protein domain specific binding"	"GOAnnotation"	"5"	"5"	"327"	"2"
"217"	"False"	""	"GO:0030163"	"IntermediateAnnotation"	"protein catabolic process"	"GOAnnotation"	"4"	"4"	"184"	"2"
"218"	"False"	""	"GO:0009057"	"IntermediateAnnotation"	"macromolecule catabolic process"	"GOAnnotation"	"6"	"6"	"217"	"3"
"219"	"False"	""	"GO:0019538"	"IntermediateAnnotation"	"protein metabolic process"	"GOAnnotation"	"48"	"48"	"887"	"5"
"220"	"False"	""	"GO:0043170"	"IntermediateAnnotation"	"macromolecule metabolic process"	"GOAnnotation"	"56"	"56"	"1098"	"5"
"221"	"False"	""	"GO:0044238"	"IntermediateAnnotation"	"primary metabolic process"	"GOAnnotation"	"62"	"62"	"1497"	"4"
"222"	"False"	""	"GO:0030670"	"IntermediateAnnotation"	"phagocytic vesicle membrane"	"GOAnnotation"	"2"	"2"	"65"	"3"
"223"	"False"	""	"GO:0030666"	"IntermediateAnnotation"	"endocytic vesicle membrane"	"GOAnnotation"	"5"	"5"	"175"	"3"
"224"	"False"	""	"GO:0045335"	"IntermediateAnnotation"	"phagocytic vesicle"	"GOAnnotation"	"3"	"3"	"110"	"3"
"225"	"False"	""	"GO:0030659"	"IntermediateAnnotation"	"cytoplasmic vesicle membrane"	"GOAnnotation"	"9"	"9"	"911"	"1"
"226"	"False"	""	"GO:0012506"	"IntermediateAnnotation"	"vesicle membrane"	"GOAnnotation"	"9"	"9"	"925"	"1"
"227"	"False"	""	"GO:0031088"	"LeafAnnotation"	"platelet dense granule membrane"	"GOAnnotation"	"1"	"1"	"6"	"17"
"228"	"False"	""	"GO:0030667"	"IntermediateAnnotation"	"secretory granule membrane"	"GOAnnotation"	"3"	"3"	"291"	"1"
"229"	"False"	""	"GO:0042827"	"IntermediateAnnotation"	"platelet dense granule"	"GOAnnotation"	"8"	"8"	"15"	"53"
"230"	"False"	""	"GO:0030141"	"IntermediateAnnotation"	"secretory granule"	"GOAnnotation"	"42"	"42"	"543"	"8"
"231"	"False"	""	"GO:0099503"	"IntermediateAnnotation"	"secretory vesicle"	"GOAnnotation"	"43"	"43"	"667"	"6"
"232"	"False"	""	"GO:0031333"	"IntermediateAnnotation"	"negative regulation of protein-containing complex assembly"	"GOAnnotation"	"3"	"3"	"63"	"5"
"233"	"False"	""	"GO:0043254"	"IntermediateAnnotation"	"regulation of protein-containing complex assembly"	"GOAnnotation"	"6"	"6"	"197"	"3"
"234"	"False"	""	"GO:0051129"	"IntermediateAnnotation"	"negative regulation of cellular component organization"	"GOAnnotation"	"14"	"14"	"318"	"4"
"235"	"False"	""	"GO:0044087"	"IntermediateAnnotation"	"regulation of cellular component biogenesis"	"GOAnnotation"	"11"	"11"	"510"	"2"
"236"	"False"	""	"GO:0051128"	"IntermediateAnnotation"	"regulation of cellular component organization"	"GOAnnotation"	"32"	"33"	"1152"	"3"
"237"	"False"	""	"GO:0048523"	"IntermediateAnnotation"	"negative regulation of cellular process"	"GOAnnotation"	"48"	"48"	"1678"	"3"
"238"	"False"	""	"GO:0048519"	"IntermediateAnnotation"	"negative regulation of biological process"	"GOAnnotation"	"59"	"59"	"1790"	"3"
"239"	"False"	""	"GO:0031647"	"IntermediateAnnotation"	"regulation of protein stability"	"GOAnnotation"	"9"	"9"	"120"	"8"
"240"	"False"	""	"GO:0031902"	"IntermediateAnnotation"	"late endosome membrane"	"GOAnnotation"	"2"	"2"	"117"	"2"
"241"	"False"	""	"GO:0010008"	"IntermediateAnnotation"	"endosome membrane"	"GOAnnotation"	"6"	"6"	"412"	"1"
"242"	"False"	""	"GO:0035577"	"LeafAnnotation"	"azurophil granule membrane"	"GOAnnotation"	"2"	"2"	"57"	"4"
"243"	"False"	""	"GO:0042582"	"IntermediateAnnotation"	"azurophil granule"	"GOAnnotation"	"6"	"6"	"96"	"6"
"244"	"False"	""	"GO:0005766"	"IntermediateAnnotation"	"primary lysosome"	"GOAnnotation"	"6"	"6"	"96"	"6"
"245"	"False"	""	"GO:0035591"	"IntermediateAnnotation"	"signaling adaptor activity"	"GOAnnotation"	"2"	"2"	"79"	"3"
"246"	"False"	""	"GO:0030674"	"IntermediateAnnotation"	"protein-macromolecule adaptor activity"	"GOAnnotation"	"4"	"4"	"292"	"1"
"247"	"False"	""	"GO:0060090"	"IntermediateAnnotation"	"molecular adaptor activity"	"GOAnnotation"	"4"	"4"	"339"	"1"
"248"	"False"	""	"GO:0043202"	"IntermediateAnnotation"	"lysosomal lumen"	"GOAnnotation"	"4"	"4"	"51"	"8"
"249"	"False"	""	"GO:0005775"	"IntermediateAnnotation"	"vacuolar lumen"	"GOAnnotation"	"8"	"8"	"83"	"10"
"250"	"False"	""	"GO:0044754"	"IntermediateAnnotation"	"autolysosome"	"GOAnnotation"	"2"	"2"	"9"	"22"
"251"	"False"	""	"GO:0005767"	"IntermediateAnnotation"	"secondary lysosome"	"GOAnnotation"	"2"	"2"	"15"	"13"
"252"	"False"	""	"GO:0046716"	"LeafAnnotation"	"muscle cell cellular homeostasis"	"GOAnnotation"	"2"	"2"	"12"	"17"
"253"	"False"	""	"GO:0048471"	"IntermediateAnnotation"	"perinuclear region of cytoplasm"	"GOAnnotation"	"8"	"8"	"399"	"2"
"254"	"False"	""	"GO:0050821"	"LeafAnnotation"	"protein stabilization"	"GOAnnotation"	"7"	"7"	"83"	"8"
"255"	"False"	""	"GO:0061684"	"IntermediateAnnotation"	"chaperone-mediated autophagy"	"GOAnnotation"	"2"	"2"	"5"	"40"
"256"	"False"	""	"GO:0006914"	"IntermediateAnnotation"	"autophagy"	"GOAnnotation"	"2"	"2"	"122"	"2"
"257"	"False"	""	"GO:0061919"	"IntermediateAnnotation"	"process utilizing autophagic mechanism"	"GOAnnotation"	"2"	"2"	"122"	"2"
"258"	"False"	""	"GO:0061740"	"LeafAnnotation"	"protein targeting to lysosome involved in chaperone-mediated autophagy"	"GOAnnotation"	"2"	"2"	"3"	"67"
"259"	"False"	""	"GO:0006622"	"IntermediateAnnotation"	"protein targeting to lysosome"	"GOAnnotation"	"2"	"2"	"19"	"11"
"260"	"False"	""	"GO:0071211"	"IntermediateAnnotation"	"protein targeting to vacuole involved in autophagy"	"GOAnnotation"	"2"	"2"	"6"	"33"
"261"	"False"	""	"GO:0006623"	"IntermediateAnnotation"	"protein targeting to vacuole"	"GOAnnotation"	"2"	"2"	"24"	"8"
"262"	"False"	""	"GO:0007041"	"IntermediateAnnotation"	"lysosomal transport"	"GOAnnotation"	"3"	"3"	"77"	"4"
"263"	"False"	""	"GO:0061462"	"IntermediateAnnotation"	"protein localization to lysosome"	"GOAnnotation"	"2"	"2"	"29"	"7"
"264"	"False"	""	"GO:0006886"	"IntermediateAnnotation"	"intracellular protein transport"	"GOAnnotation"	"5"	"5"	"227"	"2"
"265"	"False"	""	"GO:0007034"	"IntermediateAnnotation"	"vacuolar transport"	"GOAnnotation"	"3"	"3"	"90"	"3"
"266"	"False"	""	"GO:0072666"	"IntermediateAnnotation"	"establishment of protein localization to vacuole"	"GOAnnotation"	"2"	"2"	"34"	"6"
"267"	"False"	""	"GO:0072665"	"IntermediateAnnotation"	"protein localization to vacuole"	"GOAnnotation"	"2"	"2"	"41"	"5"
"268"	"False"	""	"GO:0046907"	"IntermediateAnnotation"	"intracellular transport"	"GOAnnotation"	"8"	"8"	"444"	"2"
"269"	"False"	""	"GO:0072594"	"IntermediateAnnotation"	"establishment of protein localization to organelle"	"GOAnnotation"	"3"	"3"	"90"	"3"
"270"	"False"	""	"GO:0033365"	"IntermediateAnnotation"	"protein localization to organelle"	"GOAnnotation"	"3"	"3"	"218"	"1"
"271"	"False"	""	"GO:0051649"	"IntermediateAnnotation"	"establishment of localization in cell"	"GOAnnotation"	"10"	"10"	"713"	"1"
"272"	"False"	""	"GO:0061742"	"LeafAnnotation"	"chaperone-mediated autophagy translocation complex"	"GOAnnotation"	"1"	"1"	"1"	"100"
"273"	"False"	""	"GO:0098796"	"IntermediateAnnotation"	"membrane protein complex"	"GOAnnotation"	"13"	"13"	"881"	"1"
"274"	"False"	""	"GO:0070062"	"IntermediateAnnotation"	"extracellular exosome"	"GOAnnotation"	"6"	"6"	"72"	"8"
"275"	"False"	""	"GO:1903561"	"IntermediateAnnotation"	"extracellular vesicle"	"GOAnnotation"	"7"	"7"	"85"	"8"
"276"	"False"	""	"GO:0065010"	"IntermediateAnnotation"	"extracellular membrane-bounded organelle"	"GOAnnotation"	"7"	"7"	"85"	"8"
"277"	"False"	""	"GO:0043230"	"IntermediateAnnotation"	"extracellular organelle"	"GOAnnotation"	"7"	"7"	"85"	"8"
"278"	"False"	""	"GO:0097352"	"IntermediateAnnotation"	"autophagosome maturation"	"GOAnnotation"	"1"	"1"	"29"	"3"
"279"	"False"	""	"GO:0032984"	"IntermediateAnnotation"	"protein-containing complex disassembly"	"GOAnnotation"	"2"	"2"	"50"	"4"
"280"	"False"	""	"GO:0016236"	"IntermediateAnnotation"	"macroautophagy"	"GOAnnotation"	"1"	"1"	"79"	"1"
"281"	"False"	""	"GO:0022411"	"IntermediateAnnotation"	"cellular component disassembly"	"GOAnnotation"	"6"	"6"	"102"	"6"
"282"	"False"	""	"GO:0043933"	"IntermediateAnnotation"	"protein-containing complex organization"	"GOAnnotation"	"24"	"24"	"451"	"5"
"283"	"False"	""	"GO:0101003"	"LeafAnnotation"	"ficolin-1-rich granule membrane"	"GOAnnotation"	"2"	"2"	"61"	"3"
"284"	"False"	""	"GO:0070820"	"IntermediateAnnotation"	"tertiary granule"	"GOAnnotation"	"7"	"7"	"131"	"5"
"285"	"False"	""	"GO:0101002"	"IntermediateAnnotation"	"ficolin-1-rich granule"	"GOAnnotation"	"7"	"7"	"95"	"7"
"286"	"False"	""	"GO:1900226"	"LeafAnnotation"	"negative regulation of NLRP3 inflammasome complex assembly"	"GOAnnotation"	"1"	"1"	"8"	"12"
"287"	"False"	""	"GO:1900225"	"IntermediateAnnotation"	"regulation of NLRP3 inflammasome complex assembly"	"GOAnnotation"	"1"	"1"	"21"	"5"
"288"	"False"	""	"GO:0141086"	"IntermediateAnnotation"	"negative regulation of inflammasome-mediated signaling pathway"	"GOAnnotation"	"1"	"1"	"9"	"11"
"289"	"False"	""	"GO:0141085"	"IntermediateAnnotation"	"regulation of inflammasome-mediated signaling pathway"	"GOAnnotation"	"1"	"1"	"22"	"5"
"290"	"False"	""	"GO:0039532"	"IntermediateAnnotation"	"negative regulation of cytoplasmic pattern recognition receptor signaling pathway"	"GOAnnotation"	"1"	"1"	"21"	"5"
"291"	"False"	""	"GO:0039531"	"IntermediateAnnotation"	"regulation of cytoplasmic pattern recognition receptor signaling pathway"	"GOAnnotation"	"1"	"1"	"51"	"2"
"292"	"False"	""	"GO:0002683"	"IntermediateAnnotation"	"negative regulation of immune system process"	"GOAnnotation"	"16"	"16"	"267"	"6"
"293"	"False"	""	"GO:1902532"	"IntermediateAnnotation"	"negative regulation of intracellular signal transduction"	"GOAnnotation"	"7"	"7"	"258"	"3"
"294"	"False"	""	"GO:0062207"	"IntermediateAnnotation"	"regulation of pattern recognition receptor signaling pathway"	"GOAnnotation"	"2"	"2"	"82"	"2"
"295"	"False"	""	"GO:1902531"	"IntermediateAnnotation"	"regulation of intracellular signal transduction"	"GOAnnotation"	"21"	"21"	"891"	"2"
"296"	"False"	""	"GO:0009968"	"IntermediateAnnotation"	"negative regulation of signal transduction"	"GOAnnotation"	"19"	"19"	"558"	"3"
"297"	"False"	""	"GO:0009966"	"IntermediateAnnotation"	"regulation of signal transduction"	"GOAnnotation"	"34"	"34"	"1381"	"2"
"298"	"False"	""	"GO:0045088"	"IntermediateAnnotation"	"regulation of innate immune response"	"GOAnnotation"	"9"	"9"	"228"	"4"
"299"	"False"	""	"GO:0010648"	"IntermediateAnnotation"	"negative regulation of cell communication"	"GOAnnotation"	"20"	"20"	"605"	"3"
"300"	"False"	""	"GO:0023057"	"IntermediateAnnotation"	"negative regulation of signaling"	"GOAnnotation"	"20"	"20"	"606"	"3"
"301"	"False"	""	"GO:0048585"	"IntermediateAnnotation"	"negative regulation of response to stimulus"	"GOAnnotation"	"38"	"38"	"732"	"5"
"302"	"False"	""	"GO:0010646"	"IntermediateAnnotation"	"regulation of cell communication"	"GOAnnotation"	"39"	"39"	"1641"	"2"
"303"	"False"	""	"GO:0023051"	"IntermediateAnnotation"	"regulation of signaling"	"GOAnnotation"	"39"	"39"	"1639"	"2"
"304"	"False"	""	"GO:0002831"	"IntermediateAnnotation"	"regulation of response to biotic stimulus"	"GOAnnotation"	"10"	"10"	"261"	"4"
"305"	"False"	""	"GO:0031347"	"IntermediateAnnotation"	"regulation of defense response"	"GOAnnotation"	"19"	"19"	"396"	"5"
"306"	"False"	""	"GO:0032101"	"IntermediateAnnotation"	"regulation of response to external stimulus"	"GOAnnotation"	"34"	"34"	"567"	"6"
"307"	"False"	""	"GO:0080134"	"IntermediateAnnotation"	"regulation of response to stress"	"GOAnnotation"	"33"	"33"	"580"	"6"
"308"	"False"	""	"GO:1905146"	"LeafAnnotation"	"lysosomal protein catabolic process"	"GOAnnotation"	"1"	"1"	"4"	"25"
"309"	"False"	""	"GO:0007039"	"IntermediateAnnotation"	"protein catabolic process in the vacuole"	"GOAnnotation"	"1"	"1"	"5"	"20"
"310"	"False"	""	"Pf00092"	"LeafAnnotation"	"von Willebrand factor type A domain"	"Pfam"	"7"	"7"	"23"	"30"
"311"	"False"	""	"Pf06668"	"LeafAnnotation"	"Inter-alpha-trypsin inhibitor heavy chain C-terminus"	"Pfam"	"4"	"4"	"4"	"100"
"312"	"False"	""	"Pf08487"	"LeafAnnotation"	"Vault protein inter-alpha-trypsin domain"	"Pfam"	"4"	"4"	"4"	"100"
"313"	"False"	""	"GO:0004866"	"IntermediateAnnotation"	"endopeptidase inhibitor activity"	"GOAnnotation"	"25"	"26"	"73"	"36"
"314"	"False"	""	"GO:0030414"	"IntermediateAnnotation"	"peptidase inhibitor activity"	"GOAnnotation"	"25"	"26"	"76"	"34"
"315"	"False"	""	"GO:0061135"	"IntermediateAnnotation"	"endopeptidase regulator activity"	"GOAnnotation"	"25"	"26"	"83"	"31"
"316"	"False"	""	"GO:0004857"	"IntermediateAnnotation"	"enzyme inhibitor activity"	"GOAnnotation"	"29"	"30"	"156"	"19"
"317"	"False"	""	"GO:0061134"	"IntermediateAnnotation"	"peptidase regulator activity"	"GOAnnotation"	"27"	"28"	"98"	"29"
"318"	"False"	""	"GO:0030234"	"IntermediateAnnotation"	"enzyme regulator activity"	"GOAnnotation"	"38"	"39"	"549"	"7"
"319"	"False"	""	"GO:0004867"	"LeafAnnotation"	"serine-type endopeptidase inhibitor activity"	"GOAnnotation"	"17"	"17"	"51"	"33"
"320"	"False"	""	"GO:0005540"	"LeafAnnotation"	"hyaluronic acid binding"	"GOAnnotation"	"3"	"3"	"12"	"25"
"321"	"False"	""	"GO:0005539"	"IntermediateAnnotation"	"glycosaminoglycan binding"	"GOAnnotation"	"18"	"18"	"117"	"15"
"322"	"False"	""	"GO:0097367"	"IntermediateAnnotation"	"carbohydrate derivative binding"	"GOAnnotation"	"24"	"24"	"870"	"3"
"323"	"False"	""	"GO:0030212"	"IntermediateAnnotation"	"hyaluronan metabolic process"	"GOAnnotation"	"5"	"5"	"21"	"24"
"324"	"False"	""	"GO:1903510"	"IntermediateAnnotation"	"mucopolysaccharide metabolic process"	"GOAnnotation"	"5"	"5"	"30"	"17"
"325"	"False"	""	"GO:0030203"	"IntermediateAnnotation"	"glycosaminoglycan metabolic process"	"GOAnnotation"	"6"	"6"	"32"	"19"
"326"	"False"	""	"GO:0006022"	"IntermediateAnnotation"	"aminoglycan metabolic process"	"GOAnnotation"	"6"	"6"	"33"	"18"
"327"	"False"	""	"GO:1901135"	"IntermediateAnnotation"	"carbohydrate derivative metabolic process"	"GOAnnotation"	"8"	"8"	"200"	"4"
"328"	"False"	""	"Pf01510"	"LeafAnnotation"	"N-acetylmuramoyl-L-alanine amidase"	"Pfam"	"1"	"1"	"1"	"100"
"329"	"False"	""	"GO:0001519"	"LeafAnnotation"	"peptide amidation"	"GOAnnotation"	"1"	"1"	"1"	"100"
"330"	"False"	""	"GO:0031179"	"IntermediateAnnotation"	"peptide modification"	"GOAnnotation"	"1"	"1"	"7"	"14"
"331"	"False"	""	"GO:0006518"	"IntermediateAnnotation"	"peptide metabolic process"	"GOAnnotation"	"1"	"1"	"33"	"3"
"332"	"False"	""	"GO:0008270"	"LeafAnnotation"	"zinc ion binding"	"GOAnnotation"	"3"	"3"	"184"	"2"
"333"	"False"	""	"GO:0008745"	"LeafAnnotation"	"N-acetylmuramoyl-L-alanine amidase activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"334"	"False"	""	"GO:0016811"	"IntermediateAnnotation"	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"	"GOAnnotation"	"2"	"2"	"18"	"11"
"335"	"False"	""	"GO:0061783"	"IntermediateAnnotation"	"peptidoglycan muralytic activity"	"GOAnnotation"	"1"	"1"	"4"	"25"
"336"	"False"	""	"GO:0016810"	"IntermediateAnnotation"	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	"GOAnnotation"	"3"	"3"	"26"	"12"
"337"	"False"	""	"GO:0016787"	"IntermediateAnnotation"	"hydrolase activity"	"GOAnnotation"	"32"	"32"	"823"	"4"
"338"	"False"	""	"GO:0009253"	"LeafAnnotation"	"peptidoglycan catabolic process"	"GOAnnotation"	"1"	"1"	"1"	"100"
"339"	"False"	""	"GO:0000270"	"IntermediateAnnotation"	"peptidoglycan metabolic process"	"GOAnnotation"	"1"	"1"	"1"	"100"
"340"	"False"	""	"GO:0006027"	"IntermediateAnnotation"	"glycosaminoglycan catabolic process"	"GOAnnotation"	"2"	"2"	"14"	"14"
"341"	"False"	""	"GO:0006026"	"IntermediateAnnotation"	"aminoglycan catabolic process"	"GOAnnotation"	"2"	"2"	"15"	"13"
"342"	"False"	""	"GO:1901136"	"IntermediateAnnotation"	"carbohydrate derivative catabolic process"	"GOAnnotation"	"2"	"2"	"54"	"4"
"343"	"False"	""	"GO:0016019"	"LeafAnnotation"	"peptidoglycan immune receptor activity"	"GOAnnotation"	"2"	"2"	"2"	"100"
"344"	"False"	""	"GO:0038187"	"IntermediateAnnotation"	"pattern recognition receptor activity"	"GOAnnotation"	"2"	"2"	"24"	"8"
"345"	"False"	""	"GO:0038023"	"IntermediateAnnotation"	"signaling receptor activity"	"GOAnnotation"	"8"	"8"	"1390"	"1"
"346"	"False"	""	"GO:0060089"	"IntermediateAnnotation"	"molecular transducer activity"	"GOAnnotation"	"8"	"8"	"1390"	"1"
"347"	"False"	""	"GO:0016045"	"IntermediateAnnotation"	"detection of bacterium"	"GOAnnotation"	"1"	"1"	"12"	"8"
"348"	"False"	""	"GO:0098543"	"IntermediateAnnotation"	"detection of other organism"	"GOAnnotation"	"1"	"1"	"15"	"7"
"349"	"False"	""	"GO:0098581"	"IntermediateAnnotation"	"detection of external biotic stimulus"	"GOAnnotation"	"1"	"2"	"20"	"10"
"350"	"False"	""	"GO:0009595"	"IntermediateAnnotation"	"detection of biotic stimulus"	"GOAnnotation"	"1"	"2"	"29"	"7"
"351"	"False"	""	"GO:0051606"	"IntermediateAnnotation"	"detection of stimulus"	"GOAnnotation"	"4"	"5"	"596"	"1"
"352"	"False"	""	"GO:0032689"	"LeafAnnotation"	"negative regulation of type II interferon production"	"GOAnnotation"	"1"	"1"	"27"	"4"
"353"	"False"	""	"GO:0001818"	"IntermediateAnnotation"	"negative regulation of cytokine production"	"GOAnnotation"	"10"	"10"	"151"	"7"
"354"	"False"	""	"GO:0032649"	"IntermediateAnnotation"	"regulation of type II interferon production"	"GOAnnotation"	"3"	"3"	"81"	"4"
"355"	"False"	""	"GO:0001817"	"IntermediateAnnotation"	"regulation of cytokine production"	"GOAnnotation"	"20"	"20"	"431"	"5"
"356"	"False"	""	"GO:0010629"	"IntermediateAnnotation"	"negative regulation of gene expression"	"GOAnnotation"	"12"	"12"	"312"	"4"
"357"	"False"	""	"GO:0051241"	"IntermediateAnnotation"	"negative regulation of multicellular organismal process"	"GOAnnotation"	"37"	"37"	"523"	"7"
"358"	"False"	""	"GO:0010468"	"IntermediateAnnotation"	"regulation of gene expression"	"GOAnnotation"	"34"	"34"	"1087"	"3"
"359"	"False"	""	"GO:0051239"	"IntermediateAnnotation"	"regulation of multicellular organismal process"	"GOAnnotation"	"53"	"53"	"1436"	"4"
"360"	"False"	""	"GO:0010558"	"IntermediateAnnotation"	"negative regulation of macromolecule biosynthetic process"	"GOAnnotation"	"13"	"13"	"451"	"3"
"361"	"False"	""	"GO:0010556"	"IntermediateAnnotation"	"regulation of macromolecule biosynthetic process"	"GOAnnotation"	"34"	"34"	"1120"	"3"
"362"	"False"	""	"GO:0009890"	"IntermediateAnnotation"	"negative regulation of biosynthetic process"	"GOAnnotation"	"16"	"16"	"477"	"3"
"363"	"False"	""	"GO:0010605"	"IntermediateAnnotation"	"negative regulation of macromolecule metabolic process"	"GOAnnotation"	"23"	"23"	"616"	"4"
"364"	"False"	""	"GO:0009889"	"IntermediateAnnotation"	"regulation of biosynthetic process"	"GOAnnotation"	"41"	"41"	"1186"	"3"
"365"	"False"	""	"GO:0060255"	"IntermediateAnnotation"	"regulation of macromolecule metabolic process"	"GOAnnotation"	"46"	"46"	"1429"	"3"
"366"	"False"	""	"GO:0009892"	"IntermediateAnnotation"	"negative regulation of metabolic process"	"GOAnnotation"	"29"	"29"	"698"	"4"
"367"	"False"	""	"GO:0019222"	"IntermediateAnnotation"	"regulation of metabolic process"	"GOAnnotation"	"56"	"56"	"1666"	"3"
"368"	"False"	""	"GO:0032827"	"LeafAnnotation"	"negative regulation of natural killer cell differentiation involved in immune response"	"GOAnnotation"	"1"	"1"	"1"	"100"
"369"	"False"	""	"GO:0002698"	"IntermediateAnnotation"	"negative regulation of immune effector process"	"GOAnnotation"	"9"	"9"	"82"	"11"
